id,vertices_json
Zone-0-0,"[[45.156, 10.791127390514905], [45.15608983152841, 10.791127390514905], [45.15608983152841, 10.791], [45.156, 10.791], [45.156, 10.791127390514905]]"
Zone-0-1,"[[45.156, 10.791254781029808], [45.15608983152841, 10.791254781029808], [45.15608983152841, 10.791127390514905], [45.156, 10.791127390514905], [45.156, 10.791254781029808]]"
Zone-0-2,"[[45.156, 10.791382171544713], [45.15608983152841, 10.791382171544713], [45.15608983152841, 10.791254781029808], [45.156, 10.791254781029808], [45.156, 10.791382171544713]]"
Zone-0-3,"[[45.156, 10.791509562059616], [45.15608983152841, 10.791509562059616], [45.15608983152841, 10.791382171544713], [45.156, 10.791382171544713], [45.156, 10.791509562059616]]"
Zone-0-4,"[[45.156, 10.791636952574521], [45.15608983152841, 10.791636952574521], [45.15608983152841, 10.791509562059616], [45.156, 10.791509562059616], [45.156, 10.791636952574521]]"
Zone-0-5,"[[45.156, 10.791764343089426], [45.15608983152841, 10.791764343089426], [45.15608983152841, 10.791636952574521], [45.156, 10.791636952574521], [45.156, 10.791764343089426]]"
Zone-0-6,"[[45.156, 10.791891733604329], [45.15608983152841, 10.791891733604329], [45.15608983152841, 10.791764343089426], [45.156, 10.791764343089426], [45.156, 10.791891733604329]]"
Zone-0-7,"[[45.156, 10.792019124119234], [45.15608983152841, 10.792019124119234], [45.15608983152841, 10.791891733604329], [45.156, 10.791891733604329], [45.156, 10.792019124119234]]"
Zone-0-8,"[[45.156, 10.792146514634137], [45.15608983152841, 10.792146514634137], [45.15608983152841, 10.792019124119234], [45.156, 10.792019124119234], [45.156, 10.792146514634137]]"
Zone-0-9,"[[45.156, 10.7922], [45.15608983152841, 10.7922], [45.15608983152841, 10.792146514634137], [45.156, 10.792146514634137], [45.156, 10.7922]]"
Zone-1-0,"[[45.15608983152841, 10.791], [45.15608983152841, 10.791127390514905], [45.156179663056825, 10.791127390514905], [45.156179663056825, 10.791], [45.15608983152841, 10.791]]"
Zone-1-1,"[[45.15608983152841, 10.791127390514905], [45.15608983152841, 10.791254781029808], [45.156179663056825, 10.791254781029808], [45.156179663056825, 10.791127390514905], [45.15608983152841, 10.791127390514905]]"
Zone-1-2,"[[45.15608983152841, 10.791254781029808], [45.15608983152841, 10.791382171544713], [45.156179663056825, 10.791382171544713], [45.156179663056825, 10.791254781029808], [45.15608983152841, 10.791254781029808]]"
Zone-1-3,"[[45.15608983152841, 10.791382171544713], [45.15608983152841, 10.791509562059616], [45.156179663056825, 10.791509562059616], [45.156179663056825, 10.791382171544713], [45.15608983152841, 10.791382171544713]]"
Zone-1-4,"[[45.15608983152841, 10.791509562059616], [45.15608983152841, 10.791636952574521], [45.156179663056825, 10.791636952574521], [45.156179663056825, 10.791509562059616], [45.15608983152841, 10.791509562059616]]"
Zone-1-5,"[[45.15608983152841, 10.791636952574521], [45.15608983152841, 10.791764343089426], [45.156179663056825, 10.791764343089426], [45.156179663056825, 10.791636952574521], [45.15608983152841, 10.791636952574521]]"
Zone-1-6,"[[45.15608983152841, 10.791764343089426], [45.15608983152841, 10.791891733604329], [45.156179663056825, 10.791891733604329], [45.156179663056825, 10.791764343089426], [45.15608983152841, 10.791764343089426]]"
Zone-1-7,"[[45.15608983152841, 10.791891733604329], [45.15608983152841, 10.792019124119234], [45.156179663056825, 10.792019124119234], [45.156179663056825, 10.791891733604329], [45.15608983152841, 10.791891733604329]]"
Zone-1-8,"[[45.15608983152841, 10.792019124119234], [45.15608983152841, 10.792146514634137], [45.156179663056825, 10.792146514634137], [45.156179663056825, 10.792019124119234], [45.15608983152841, 10.792019124119234]]"
Zone-1-9,"[[45.156179663056825, 10.7922], [45.156179663056825, 10.792146514634137], [45.15608983152841, 10.792146514634137], [45.15608983152841, 10.7922], [45.156179663056825, 10.7922]]"
Zone-2-0,"[[45.156179663056825, 10.791], [45.156179663056825, 10.791127390514905], [45.15626949458523, 10.791127390514905], [45.15626949458523, 10.791], [45.156179663056825, 10.791]]"
Zone-2-1,"[[45.156179663056825, 10.791127390514905], [45.156179663056825, 10.791254781029808], [45.15626949458523, 10.791254781029808], [45.15626949458523, 10.791127390514905], [45.156179663056825, 10.791127390514905]]"
Zone-2-2,"[[45.156179663056825, 10.791254781029808], [45.156179663056825, 10.791382171544713], [45.15626949458523, 10.791382171544713], [45.15626949458523, 10.791254781029808], [45.156179663056825, 10.791254781029808]]"
Zone-2-3,"[[45.156179663056825, 10.791382171544713], [45.156179663056825, 10.791509562059616], [45.15626949458523, 10.791509562059616], [45.15626949458523, 10.791382171544713], [45.156179663056825, 10.791382171544713]]"
Zone-2-4,"[[45.156179663056825, 10.791509562059616], [45.156179663056825, 10.791636952574521], [45.15626949458523, 10.791636952574521], [45.15626949458523, 10.791509562059616], [45.156179663056825, 10.791509562059616]]"
Zone-2-5,"[[45.156179663056825, 10.791636952574521], [45.156179663056825, 10.791764343089426], [45.15626949458523, 10.791764343089426], [45.15626949458523, 10.791636952574521], [45.156179663056825, 10.791636952574521]]"
Zone-2-6,"[[45.156179663056825, 10.791764343089426], [45.156179663056825, 10.791891733604329], [45.15626949458523, 10.791891733604329], [45.15626949458523, 10.791764343089426], [45.156179663056825, 10.791764343089426]]"
Zone-2-7,"[[45.156179663056825, 10.791891733604329], [45.156179663056825, 10.792019124119234], [45.15626949458523, 10.792019124119234], [45.15626949458523, 10.791891733604329], [45.156179663056825, 10.791891733604329]]"
Zone-2-8,"[[45.156179663056825, 10.792019124119234], [45.156179663056825, 10.792146514634137], [45.15626949458523, 10.792146514634137], [45.15626949458523, 10.792019124119234], [45.156179663056825, 10.792019124119234]]"
Zone-2-9,"[[45.15626949458523, 10.7922], [45.15626949458523, 10.792146514634137], [45.156179663056825, 10.792146514634137], [45.156179663056825, 10.7922], [45.15626949458523, 10.7922]]"
Zone-3-0,"[[45.15626949458523, 10.791], [45.15626949458523, 10.791127390514905], [45.156359326113645, 10.791127390514905], [45.156359326113645, 10.791], [45.15626949458523, 10.791]]"
Zone-3-1,"[[45.15626949458523, 10.791127390514905], [45.15626949458523, 10.791254781029808], [45.156359326113645, 10.791254781029808], [45.156359326113645, 10.791127390514905], [45.15626949458523, 10.791127390514905]]"
Zone-3-2,"[[45.15626949458523, 10.791254781029808], [45.15626949458523, 10.791382171544713], [45.156359326113645, 10.791382171544713], [45.156359326113645, 10.791254781029808], [45.15626949458523, 10.791254781029808]]"
Zone-3-3,"[[45.15626949458523, 10.791382171544713], [45.15626949458523, 10.791509562059616], [45.156359326113645, 10.791509562059616], [45.156359326113645, 10.791382171544713], [45.15626949458523, 10.791382171544713]]"
Zone-3-4,"[[45.15626949458523, 10.791509562059616], [45.15626949458523, 10.791636952574521], [45.156359326113645, 10.791636952574521], [45.156359326113645, 10.791509562059616], [45.15626949458523, 10.791509562059616]]"
Zone-3-5,"[[45.15626949458523, 10.791636952574521], [45.15626949458523, 10.791764343089426], [45.156359326113645, 10.791764343089426], [45.156359326113645, 10.791636952574521], [45.15626949458523, 10.791636952574521]]"
Zone-3-6,"[[45.15626949458523, 10.791764343089426], [45.15626949458523, 10.791891733604329], [45.156359326113645, 10.791891733604329], [45.156359326113645, 10.791764343089426], [45.15626949458523, 10.791764343089426]]"
Zone-3-7,"[[45.15626949458523, 10.791891733604329], [45.15626949458523, 10.792019124119234], [45.156359326113645, 10.792019124119234], [45.156359326113645, 10.791891733604329], [45.15626949458523, 10.791891733604329]]"
Zone-3-8,"[[45.15626949458523, 10.792019124119234], [45.15626949458523, 10.792146514634137], [45.156359326113645, 10.792146514634137], [45.156359326113645, 10.792019124119234], [45.15626949458523, 10.792019124119234]]"
Zone-3-9,"[[45.156359326113645, 10.7922], [45.156359326113645, 10.792146514634137], [45.15626949458523, 10.792146514634137], [45.15626949458523, 10.7922], [45.156359326113645, 10.7922]]"
Zone-4-0,"[[45.156359326113645, 10.791], [45.156359326113645, 10.791127390514905], [45.15644915764206, 10.791127390514905], [45.15644915764206, 10.791], [45.156359326113645, 10.791]]"
Zone-4-1,"[[45.156359326113645, 10.791127390514905], [45.156359326113645, 10.791254781029808], [45.15644915764206, 10.791254781029808], [45.15644915764206, 10.791127390514905], [45.156359326113645, 10.791127390514905]]"
Zone-4-2,"[[45.156359326113645, 10.791254781029808], [45.156359326113645, 10.791382171544713], [45.15644915764206, 10.791382171544713], [45.15644915764206, 10.791254781029808], [45.156359326113645, 10.791254781029808]]"
Zone-4-3,"[[45.156359326113645, 10.791382171544713], [45.156359326113645, 10.791509562059616], [45.15644915764206, 10.791509562059616], [45.15644915764206, 10.791382171544713], [45.156359326113645, 10.791382171544713]]"
Zone-4-4,"[[45.156359326113645, 10.791509562059616], [45.156359326113645, 10.791636952574521], [45.15644915764206, 10.791636952574521], [45.15644915764206, 10.791509562059616], [45.156359326113645, 10.791509562059616]]"
Zone-4-5,"[[45.156359326113645, 10.791636952574521], [45.156359326113645, 10.791764343089426], [45.15644915764206, 10.791764343089426], [45.15644915764206, 10.791636952574521], [45.156359326113645, 10.791636952574521]]"
Zone-4-6,"[[45.156359326113645, 10.791764343089426], [45.156359326113645, 10.791891733604329], [45.15644915764206, 10.791891733604329], [45.15644915764206, 10.791764343089426], [45.156359326113645, 10.791764343089426]]"
Zone-4-7,"[[45.156359326113645, 10.791891733604329], [45.156359326113645, 10.792019124119234], [45.15644915764206, 10.792019124119234], [45.15644915764206, 10.791891733604329], [45.156359326113645, 10.791891733604329]]"
Zone-4-8,"[[45.156359326113645, 10.792019124119234], [45.156359326113645, 10.792146514634137], [45.15644915764206, 10.792146514634137], [45.15644915764206, 10.792019124119234], [45.156359326113645, 10.792019124119234]]"
Zone-4-9,"[[45.15644915764206, 10.7922], [45.15644915764206, 10.792146514634137], [45.156359326113645, 10.792146514634137], [45.156359326113645, 10.7922], [45.15644915764206, 10.7922]]"
Zone-5-0,"[[45.15644915764206, 10.791], [45.15644915764206, 10.791127390514905], [45.15653898917047, 10.791127390514905], [45.15653898917047, 10.791], [45.15644915764206, 10.791]]"
Zone-5-1,"[[45.15644915764206, 10.791127390514905], [45.15644915764206, 10.791254781029808], [45.15653898917047, 10.791254781029808], [45.15653898917047, 10.791127390514905], [45.15644915764206, 10.791127390514905]]"
Zone-5-2,"[[45.15644915764206, 10.791254781029808], [45.15644915764206, 10.791382171544713], [45.15653898917047, 10.791382171544713], [45.15653898917047, 10.791254781029808], [45.15644915764206, 10.791254781029808]]"
Zone-5-3,"[[45.15644915764206, 10.791382171544713], [45.15644915764206, 10.791509562059616], [45.15653898917047, 10.791509562059616], [45.15653898917047, 10.791382171544713], [45.15644915764206, 10.791382171544713]]"
Zone-5-4,"[[45.15644915764206, 10.791509562059616], [45.15644915764206, 10.791636952574521], [45.15653898917047, 10.791636952574521], [45.15653898917047, 10.791509562059616], [45.15644915764206, 10.791509562059616]]"
Zone-5-5,"[[45.15644915764206, 10.791636952574521], [45.15644915764206, 10.791764343089426], [45.15653898917047, 10.791764343089426], [45.15653898917047, 10.791636952574521], [45.15644915764206, 10.791636952574521]]"
Zone-5-6,"[[45.15644915764206, 10.791764343089426], [45.15644915764206, 10.791891733604329], [45.15653898917047, 10.791891733604329], [45.15653898917047, 10.791764343089426], [45.15644915764206, 10.791764343089426]]"
Zone-5-7,"[[45.15644915764206, 10.791891733604329], [45.15644915764206, 10.792019124119234], [45.15653898917047, 10.792019124119234], [45.15653898917047, 10.791891733604329], [45.15644915764206, 10.791891733604329]]"
Zone-5-8,"[[45.15644915764206, 10.792019124119234], [45.15644915764206, 10.792146514634137], [45.15653898917047, 10.792146514634137], [45.15653898917047, 10.792019124119234], [45.15644915764206, 10.792019124119234]]"
Zone-5-9,"[[45.15653898917047, 10.7922], [45.15653898917047, 10.792146514634137], [45.15644915764206, 10.792146514634137], [45.15644915764206, 10.7922], [45.15653898917047, 10.7922]]"
Zone-6-0,"[[45.15653898917047, 10.791], [45.15653898917047, 10.791127390514905], [45.156628820698884, 10.791127390514905], [45.156628820698884, 10.791], [45.15653898917047, 10.791]]"
Zone-6-1,"[[45.15653898917047, 10.791127390514905], [45.15653898917047, 10.791254781029808], [45.156628820698884, 10.791254781029808], [45.156628820698884, 10.791127390514905], [45.15653898917047, 10.791127390514905]]"
Zone-6-2,"[[45.15653898917047, 10.791254781029808], [45.15653898917047, 10.791382171544713], [45.156628820698884, 10.791382171544713], [45.156628820698884, 10.791254781029808], [45.15653898917047, 10.791254781029808]]"
Zone-6-3,"[[45.15653898917047, 10.791382171544713], [45.15653898917047, 10.791509562059616], [45.156628820698884, 10.791509562059616], [45.156628820698884, 10.791382171544713], [45.15653898917047, 10.791382171544713]]"
Zone-6-4,"[[45.15653898917047, 10.791509562059616], [45.15653898917047, 10.791636952574521], [45.156628820698884, 10.791636952574521], [45.156628820698884, 10.791509562059616], [45.15653898917047, 10.791509562059616]]"
Zone-6-5,"[[45.15653898917047, 10.791636952574521], [45.15653898917047, 10.791764343089426], [45.156628820698884, 10.791764343089426], [45.156628820698884, 10.791636952574521], [45.15653898917047, 10.791636952574521]]"
Zone-6-6,"[[45.15653898917047, 10.791764343089426], [45.15653898917047, 10.791891733604329], [45.156628820698884, 10.791891733604329], [45.156628820698884, 10.791764343089426], [45.15653898917047, 10.791764343089426]]"
Zone-6-7,"[[45.15653898917047, 10.791891733604329], [45.15653898917047, 10.792019124119234], [45.156628820698884, 10.792019124119234], [45.156628820698884, 10.791891733604329], [45.15653898917047, 10.791891733604329]]"
Zone-6-8,"[[45.15653898917047, 10.792019124119234], [45.15653898917047, 10.792146514634137], [45.156628820698884, 10.792146514634137], [45.156628820698884, 10.792019124119234], [45.15653898917047, 10.792019124119234]]"
Zone-6-9,"[[45.156628820698884, 10.7922], [45.156628820698884, 10.792146514634137], [45.15653898917047, 10.792146514634137], [45.15653898917047, 10.7922], [45.156628820698884, 10.7922]]"
Zone-7-0,"[[45.156628820698884, 10.791], [45.156628820698884, 10.791127390514905], [45.1567186522273, 10.791127390514905], [45.1567186522273, 10.791], [45.156628820698884, 10.791]]"
Zone-7-1,"[[45.156628820698884, 10.791127390514905], [45.156628820698884, 10.791254781029808], [45.1567186522273, 10.791254781029808], [45.1567186522273, 10.791127390514905], [45.156628820698884, 10.791127390514905]]"
Zone-7-2,"[[45.156628820698884, 10.791254781029808], [45.156628820698884, 10.791382171544713], [45.1567186522273, 10.791382171544713], [45.1567186522273, 10.791254781029808], [45.156628820698884, 10.791254781029808]]"
Zone-7-3,"[[45.156628820698884, 10.791382171544713], [45.156628820698884, 10.791509562059616], [45.1567186522273, 10.791509562059616], [45.1567186522273, 10.791382171544713], [45.156628820698884, 10.791382171544713]]"
Zone-7-4,"[[45.156628820698884, 10.791509562059616], [45.156628820698884, 10.791636952574521], [45.1567186522273, 10.791636952574521], [45.1567186522273, 10.791509562059616], [45.156628820698884, 10.791509562059616]]"
Zone-7-5,"[[45.156628820698884, 10.791636952574521], [45.156628820698884, 10.791764343089426], [45.1567186522273, 10.791764343089426], [45.1567186522273, 10.791636952574521], [45.156628820698884, 10.791636952574521]]"
Zone-7-6,"[[45.156628820698884, 10.791764343089426], [45.156628820698884, 10.791891733604329], [45.1567186522273, 10.791891733604329], [45.1567186522273, 10.791764343089426], [45.156628820698884, 10.791764343089426]]"
Zone-7-7,"[[45.156628820698884, 10.791891733604329], [45.156628820698884, 10.792019124119234], [45.1567186522273, 10.792019124119234], [45.1567186522273, 10.791891733604329], [45.156628820698884, 10.791891733604329]]"
Zone-7-8,"[[45.156628820698884, 10.792019124119234], [45.156628820698884, 10.792146514634137], [45.1567186522273, 10.792146514634137], [45.1567186522273, 10.792019124119234], [45.156628820698884, 10.792019124119234]]"
Zone-7-9,"[[45.1567186522273, 10.7922], [45.1567186522273, 10.792146514634137], [45.156628820698884, 10.792146514634137], [45.156628820698884, 10.7922], [45.1567186522273, 10.7922]]"
Zone-8-0,"[[45.1567186522273, 10.791], [45.1567186522273, 10.791127390514905], [45.156808483755704, 10.791127390514905], [45.156808483755704, 10.791], [45.1567186522273, 10.791]]"
Zone-8-1,"[[45.1567186522273, 10.791127390514905], [45.1567186522273, 10.791254781029808], [45.156808483755704, 10.791254781029808], [45.156808483755704, 10.791127390514905], [45.1567186522273, 10.791127390514905]]"
Zone-8-2,"[[45.1567186522273, 10.791254781029808], [45.1567186522273, 10.791382171544713], [45.156808483755704, 10.791382171544713], [45.156808483755704, 10.791254781029808], [45.1567186522273, 10.791254781029808]]"
Zone-8-3,"[[45.1567186522273, 10.791382171544713], [45.1567186522273, 10.791509562059616], [45.156808483755704, 10.791509562059616], [45.156808483755704, 10.791382171544713], [45.1567186522273, 10.791382171544713]]"
